25625,6,wV1FrqwZyKw,2,lady gaga,6,born this way,capital,363,"It doesn't matter if you love him, or __ H-I-M",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,0,5230,5230,0,
25626,6,wV1FrqwZyKw,2,lady gaga,6,born this way,capital,406,Believe __ H-I-M (hey hey hey),Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,115070,119460,4390,0,
25627,9,XjwZAa2EjKA,3,Katy Perry,9,unconditionally,Unconditional,606,"__, unconditionally",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,35690,43270,7580,0,
25628,9,XjwZAa2EjKA,3,Katy Perry,9,unconditionally,Unconditional,619,"__, unconditionally",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,98900,106600,7700,0,
25629,9,XjwZAa2EjKA,3,Katy Perry,9,unconditionally,Unconditional,633,"__, unconditionally",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,160060,169860,9800,0,
25630,24,qrOeGCJdZe4,9,OneRepublic,25,all the right moves,special,1690,"Do you think I'm __, do you think I'm nice",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,77690,80840,3150,0,
25631,27,e-fA-gBCkj0,10,Bruno Mars,28,locked out of heaven,spiritual,1827,But swimming in your world is something __ (spiritual) uh!,Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,29540,36230,6690,0,
25632,27,e-fA-gBCkj0,10,Bruno Mars,28,locked out of heaven,spiritual,1827,But swimming in your world is something spiritual (__) uh!,Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,29540,36230,6690,0,
25633,32,TH8m6J3gPH0,12,Robin Thicke,33,give it 2 u,detrimental,2178,Got shot like DO! This can be __,Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,152470,154900,2430,1,
25634,34,FyXtoTLLcDk,13,Justin Timberlake,35,tko,lethal,2249,Cause when I see you move like you got something inside that made you __,Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,138980,145070,6090,1,
25635,48,g1j1qwQQ8-Q,19,James Blunt,49,bonfire heart,loyal,2997,"Your love is like a soldier, __ till you die",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,12460,19990,7530,0,
25636,52,rYEDA3JcQqw,21,adele,53,rolling in the deep,crystal,3205,Finally I can see you __ clear,Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,13370,17890,4520,0,
25637,64,3OnnDqH6Wj8,27,Flo Rida,65,good feeling,royal,3823,"I got power, feel so __",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,105260,107030,1770,0,
25638,76,F3EG4olrFjY,31,Olly Murs,77,dance with me tonight,special,4341,Ladies and Gentlemen we've got a __ treat for tonight,Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,7470,13130,5660,0,
25639,78,Tff2oE31Mlw,32,Chris Brown,79,love more,mental,4471,"Baby this should be simple, it's all in me __",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,77060,81910,4850,1,
25640,84,sOnqjkJTMaA,37,Michael Jackson,85,thriller,mortal,4861,For no mere __ can resist,Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,335010,339070,4060,1,
25641,93,wyx6JDQCslE,46,lmfao featuring lauren bennett and goonrock,94,sexy and i know it,animal,5424,"This is how I roll, __ print, pants out control,",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,22300,25350,3050,1,
25642,100,DUT5rEU6pqM,51,shakira,101,hips don't lie,animal,5757,"Half __, half man",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,98660,100640,1980,0,
25643,100,DUT5rEU6pqM,51,shakira,101,hips don't lie,musical,5793,"I ain't guilty, it's a __ transaction",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,177580,179460,1880,0,
25644,104,t4H_Zoh7G5A,55,Jennifer Lopez,105,on the floor,animal,5909,If you're an __ then tear up the floor,Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,52900,55690,2790,1,
25645,104,t4H_Zoh7G5A,55,Jennifer Lopez,105,on the floor,criminal,5935,"If you're a __, kill it on the floor",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,123150,126010,2860,1,
25646,120,8WEtxJ4-sh4,72,TLC,122,waterfalls,natural,6852,Little precious has a __ obsession,Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,100500,104810,4310,0,
25647,120,8WEtxJ4-sh4,72,TLC,122,waterfalls,final,6859,"Three letters took him to his __ resting place, y'all, don't hear me",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,137540,144260,6720,0,
25648,120,8WEtxJ4-sh4,72,TLC,122,waterfalls,unconditional,6874,Clear and blue and __,Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,184130,186000,1870,0,
25649,475,_5Thn61Cczg,72,TLC,123,no scrubs,digital,6975,You as clear as DVD on __ TV screen,Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,171680,174210,2530,1,
25650,125,WpYeekQkAdc,77,black eyed peas,127,where is the love?,Chemical,7205,__ gasses fillin' lungs of little ones,Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,102110,104240,2130,0,
25651,131,uF4tsdbj0vY,84,Sean Kingston,133,beat it,loyal,7588,So already settled down and __ to your dude,Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,52220,57070,4850,1,
25652,131,uF4tsdbj0vY,84,Sean Kingston,133,beat it,loyal,7606,"And I ain't never settled down, just __ to my team",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,110410,115200,4790,1,
25653,139,EgT_us6AsDg,98,Selena Gomez & The Scene,141,love you like a love song,lyrical,8030,"A centerfold, a miracle, __",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,25460,29400,3940,0,
25654,139,EgT_us6AsDg,98,Selena Gomez & The Scene,141,love you like a love song,magical,8048,"You are __, lyrical, beautiful",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,93250,97240,3990,0,
25655,139,EgT_us6AsDg,98,Selena Gomez & The Scene,141,love you like a love song,lyrical,8048,"You are magical, __, beautiful",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,93250,97240,3990,0,
25656,151,w4s6H4ku6ZY,130,Far * East Movement,153,like a g6,Crystal,8661,Gimme that __  (stal),Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,33080,34840,1760,1,
25657,156,2uYs0gJD-LE,174,M.I.A,158,bad girls,signal,9029,Yeah with a __,Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,76730,78490,1760,0,
25658,157,ewRjZoRtu0Y,174,M.I.A,159,paper planes,Lethal,9089,__ poison through their system,Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,86320,88960,2640,1,
25659,157,ewRjZoRtu0Y,174,M.I.A,159,paper planes,Lethal,9094,__ poison through their system,Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,97460,100170,2710,1,
25660,163,Y5fBdpreJiU,352,The Killers,168,somebody told me,confidential,9435,"It's not __, I've got potential",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,73940,80450,6510,0,
25661,163,Y5fBdpreJiU,352,The Killers,168,somebody told me,potential,9435,"It's not confidential, I've got __",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,73940,80450,6510,0,
25662,163,Y5fBdpreJiU,352,The Killers,168,somebody told me,confidential,9447,"It's not __, I've got potential",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,119090,122880,3790,0,
25663,163,Y5fBdpreJiU,352,The Killers,168,somebody told me,potential,9447,"It's not confidential, I've got __",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,119090,122880,3790,0,
25664,163,Y5fBdpreJiU,352,The Killers,168,somebody told me,confidential,9459,"It's not __, I've got potential",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,159040,163090,4050,0,
25665,163,Y5fBdpreJiU,352,The Killers,168,somebody told me,potential,9459,"It's not confidential, I've got __",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,159040,163090,4050,0,
25666,163,Y5fBdpreJiU,352,The Killers,168,somebody told me,confidential,9466,"It's not __, I've got potential",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,172950,176650,3700,0,
25667,163,Y5fBdpreJiU,352,The Killers,168,somebody told me,potential,9466,"It's not confidential, I've got __",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,172950,176650,3700,0,
25668,163,Y5fBdpreJiU,352,The Killers,168,somebody told me,confidential,9473,"It's not __, I've got potential",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,186840,190660,3820,0,
25669,163,Y5fBdpreJiU,352,The Killers,168,somebody told me,potential,9473,"It's not confidential, I've got __",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,186840,190660,3820,0,
25670,177,BB0DU4DoPP4,358,Nickelback,182,photograph,Criminal,10068,__ record says I broke in twice,Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,33510,36920,3410,1,
25671,178,hTWKbfoikeg,359,Nirvana,183,smells like teen spirit,denial,10190,"A __, a denial, a denial, a denial, a denial",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,245910,253950,8040,0,
25672,178,hTWKbfoikeg,359,Nirvana,183,smells like teen spirit,denial,10190,"A denial, a __, a denial, a denial, a denial",Feature_Has_Phonemes_Ah0_L_Spelled_Al,endings_le_el_al_il,word_endings,245910,253950,8040,0,
